Day,Type,Problem_Name,Contest_Name,Problem_Link,Contest_Link,PDF_Link,Category,Difficulty
Day 14,Exercise,SUBSET,fcb047,https://oj.vnoi.info/problem/fcb047_subset,,https://vnoi-admin.github.io/statements/FC/FCB047/subset.pdf,Dynamic Programming,650
Day 11,Exercise,QUERYS,fcb050,https://oj.vnoi.info/problem/fcb050_querys,,https://vnoi-admin.github.io/statements/FC/FCB050/querys.pdf,Data Structures,700
Day 12,Exercise,FALLFILL,fcb048,https://oj.vnoi.info/problem/fcb048_fallfill,,https://vnoi-admin.github.io/statements/FC/FCB048/fallfill.pdf,Dynamic Programming,700
Day 15,Exercise,MULTIDSEQ,fcb046,https://oj.vnoi.info/problem/fcb046_multidseq,,https://vnoi-admin.github.io/statements/FC/FCB046/multidseq.pdf,Dynamic Programming,700
Day 15,Exercise,COMSUB,fcb045,https://oj.vnoi.info/problem/fcb045_comsub,,https://vnoi-admin.github.io/statements/FC/FCB045/comsub.pdf,Dynamic Programming,700
Day 16,Exercise,SALE,fcb044,https://oj.vnoi.info/problem/fcb044_sale,,https://vnoi-admin.github.io/statements/FC/FCB044/sale.pdf,Dynamic Programming,700
Day 24,Exercise,TRIPLEGAME,fcb040,https://oj.vnoi.info/problem/fcb040_triplegame,,https://vnoi-admin.github.io/statements/FC/FCB040/triplegame.pdf,Game Theory,700
Day 16,Exercise,SUMDIST,fcb044,https://oj.vnoi.info/problem/fcb044_sumdist,,https://vnoi-admin.github.io/statements/FC/FCB044/sumdist.pdf,Geometry,750
Day 22,Exercise,RAINBOW,fcb042,https://oj.vnoi.info/problem/fcb042_rainbow,,https://vnoi-admin.github.io/statements/FC/FCB042/rainbow.pdf,Graph,750
Day 5,Exercise,DPD1,fcb012,https://oj.vnoi.info/problem/fcb012_dpd1,,https://vnoi-admin.github.io/statements/FC/FCB012/dpd1.pdf,Dynamic Programming,800
Day 6,Contest,Mock test 1,Beginner Free Contest 26,,https://oj.vnoi.info/contest/fcb026,,,
Day 8,Contest,Mock test 2,Beginner Free Contest 37,,https://oj.vnoi.info/contest/fcb037,,,
Day 10,Contest,Contest,Beginner Free Contest 47,,https://oj.vnoi.info/contest/fcb047,,,
Day 12,Contest,Mock test 2,Beginner Free Contest 52,,https://oj.vnoi.info/contest/fcb052,,,
Day 14,Contest,Contest simulation,Beginner Free Contest 41,,https://oj.vnoi.info/contest/fcb041,,,
Day 16,Contest,Mock test 3,Beginner Free Contest 50,,https://oj.vnoi.info/contest/fcb050,,,
Day 17,Contest,Contest simulation 1,Free Contest 150,,https://oj.vnoi.info/contest/fc150,,,
Day 18,Contest,Contest simulation 2,Free Contest 149,,https://oj.vnoi.info/contest/fc149,,,
Day 19,Contest,Contest simulation 3,Free Contest 148,,https://oj.vnoi.info/contest/fc148,,,
Day 20,Contest,Contest simulation 4,Free Contest 147,,https://oj.vnoi.info/contest/fc147,,,
Day 23,Contest,Final mock test 1,Beginner Free Contest 53,,https://oj.vnoi.info/contest/fcb053,,,
Day 24,Contest,Final mock test 2,Beginner Free Contest 55,,https://oj.vnoi.info/contest/fcb055,,,
